time,seconds_elapsed,z,y,x
1772643958745567200,0.038567138671875,-0.99139404296875,-0.034454345703125,-0.012542724609375
1772643958755608300,0.0486083984375,-0.9871826171875,-0.03863525390625,-0.0110931396484375
1772643958765648400,0.0586484375,-0.987640380859375,-0.0375213623046875,-0.0117340087890625
1772643958775689500,0.068689453125,-0.9883575439453125,-0.0369415283203125,-0.011810302734375
1772643958785730300,0.078730224609375,-0.9858551025390625,-0.036224365234375,-0.01153564453125
1772643958795771400,0.088771484375,-0.988861083984375,-0.03564453125,-0.0129852294921875
1772643958805812500,0.0988125,-0.9925994873046875,-0.03436279296875,-0.015625
1772643958815853300,0.108853271484375,-0.99188232421875,-0.029205322265625,-0.0164031982421875
1772643958825893400,0.118893310546875,-0.99005126953125,-0.0253448486328125,-0.016845703125
1772643958835934500,0.1289345703125,-0.9918212890625,-0.02154541015625,-0.01702880859375
1772643958845975300,0.138975341796875,-0.990386962890625,-0.0211639404296875,-0.01611328125
1772643958856016400,0.149016357421875,-0.991607666015625,-0.022491455078125,-0.0164031982421875
1772643958866057500,0.159057373046875,-0.9951171875,-0.0224151611328125,-0.01593017578125
1772643958876098300,0.169098388671875,-0.992431640625,-0.02264404296875,-0.0155181884765625
1772643958886138400,0.179138427734375,-0.9889984130859375,-0.0249481201171875,-0.0155487060546875
1772643958896179500,0.189179443359375,-0.988983154296875,-0.0272369384765625,-0.014251708984375
1772643958906220500,0.199220458984375,-0.9927215576171875,-0.030853271484375,-0.0140228271484375
1772643958916261400,0.209261474609375,-0.992828369140625,-0.033721923828125,-0.0144195556640625
1772643958926302500,0.219302490234375,-0.9916534423828125,-0.0325164794921875,-0.0148773193359375
1772643958936343600,0.229343505859375,-0.9912872314453125,-0.0311737060546875,-0.013031005859375
1772643958946384400,0.23938427734375,-0.9900970458984375,-0.0255584716796875,-0.0133819580078125
1772643958956424200,0.249424072265625,-0.9916839599609375,-0.0229339599609375,-0.0118865966796875
1772643958966465300,0.25946533203125,-0.9937591552734375,-0.0194854736328125,-0.011962890625
1772643958976506000,0.269506103515625,-0.9913482666015625,-0.017333984375,-0.0125885009765625
1772643958986547200,0.279547119140625,-0.98614501953125,-0.020355224609375,-0.0117034912109375
1772643958996588300,0.28958837890625,-0.98785400390625,-0.0279541015625,-0.0106201171875
1772643959006629000,0.299629150390625,-0.9954376220703125,-0.0346527099609375,-0.0125732421875
1772643959016669200,0.309669189453125,-0.98846435546875,-0.0380706787109375,-0.01019287109375
1772643959026710300,0.319710205078125,-0.9854736328125,-0.039337158203125,-0.010162353515625
1772643959036751400,0.32975146484375,-0.9898834228515625,-0.0377960205078125,-0.009613037109375
1772643959046792200,0.339792236328125,-0.994903564453125,-0.034088134765625,-0.010406494140625
1772643959056833300,0.349833251953125,-0.9882049560546875,-0.0314178466796875,-0.009490966796875
1772643959066874400,0.359874267578125,-0.9847259521484375,-0.0296173095703125,-0.0103607177734375
1772643959076914400,0.36991455078125,-0.990753173828125,-0.02984619140625,-0.0129547119140625
1772643959086955300,0.379955322265625,-0.9916534423828125,-0.0279083251953125,-0.0159912109375
1772643959096996400,0.389996337890625,-0.9864501953125,-0.0256500244140625,-0.0193939208984375
1772643959107037200,0.400037109375,-0.9886627197265625,-0.02630615234375,-0.0204315185546875
1772643959117078300,0.410078369140625,-0.99102783203125,-0.0320281982421875,-0.021148681640625
1772643959127119400,0.420119384765625,-0.9903411865234375,-0.0356903076171875,-0.0192718505859375
1772643959137159400,0.430159423828125,-0.9888763427734375,-0.036224365234375,-0.019927978515625
1772643959147200300,0.4402001953125,-0.9893951416015625,-0.038818359375,-0.0194091796875
1772643959157241300,0.450241455078125,-0.9916839599609375,-0.0371551513671875,-0.0177764892578125
1772643959167282400,0.460282470703125,-0.9909515380859375,-0.0372467041015625,-0.0160675048828125
1772643959177323300,0.4703232421875,-0.9875640869140625,-0.0370330810546875,-0.014251708984375
1772643959187364400,0.4803642578125,-0.987060546875,-0.0369110107421875,-0.014190673828125
1772643959197405400,0.490405517578125,-0.9901275634765625,-0.035125732421875,-0.0130157470703125
1772643959207445500,0.500445556640625,-0.9892425537109375,-0.0322113037109375,-0.0096893310546875
1772643959217486300,0.510486328125,-0.98858642578125,-0.02838134765625,-0.0071868896484375
1772643959227527400,0.52052734375,-0.9898681640625,-0.02764892578125,-0.005462646484375
1772643959237568300,0.530568359375,-0.9888916015625,-0.0269317626953125,-0.004486083984375
1772643959247609300,0.540609375,-0.9879913330078125,-0.0239105224609375,-0.0047149658203125
1772643959257650400,0.550650390625,-0.9922027587890625,-0.02581787109375,-0.009002685546875
1772643959267690200,0.560690185546875,-0.99090576171875,-0.0278778076171875,-0.0080718994140625
