time,seconds_elapsed_x,acc_x,acc_y,acc_z,seconds_elapsed_y,gyro_x,gyro_y,gyro_z,member,activity,trial,session_id
1772651416296865300,0.363865234375,0.0148631036281585,-0.0001372396945953,0.0182876586914062,0.361364013671875,0.0007989476434886,0.0,-0.0019973691087216,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416316870700,0.38387060546875,-0.0089144706726074,-0.0098856985569,0.0230741500854492,0.381369384765625,0.0013315794058144,-0.0015978952869772,-0.00093210558407,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416336876000,0.4038759765625,-0.0015322864055633,-0.0031482577323913,0.0161876678466796,0.401374755859375,-0.0002663158811628,0.0026631588116288,0.0001331579405814,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416356881400,0.42388134765625,-0.0063532888889312,-0.0084000825881958,0.0308685302734375,0.421380126953125,-0.0018642111681401,0.0,-0.0019973691087216,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416376886500,0.443886474609375,0.0174290239810943,0.0038296580314636,0.0192079544067382,0.441385498046875,-0.0018642111681401,0.0,-0.0003994738217443,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416396892000,0.463891845703125,-0.0112322270870208,-0.0273225009441375,0.016510009765625,0.461390625,0.0007989476434886,0.0005326317623257,-0.0003994738217443,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416416897300,0.483897216796875,-0.0160824954509735,-0.0152956545352935,0.0284910202026367,0.48139599609375,0.0002663158811628,-0.0005326317623257,0.0006657897029072,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416436902700,0.503902587890625,-0.0015559196472167,0.0133967995643615,0.0332746505737304,0.5014013671875,-0.0002663158811628,0.0010652635246515,0.0011984214652329,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416456908000,0.523907958984375,-0.0113475322723388,0.0014629960060119,0.0212965011596679,0.52140673828125,-0.0013315794058144,0.0,-0.0003994738217443,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416476913400,0.543913330078125,0.0105397999286651,-0.0052668750286102,0.0141305923461914,0.541412109375,-0.0029294746927917,0.0005326317623257,-0.0003994738217443,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416496918500,0.56391845703125,-0.0144479274749755,-0.0078286528587341,0.0285100936889648,0.561417236328125,0.0002663158811628,-0.0015978952869772,-0.0003994738217443,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416516924000,0.583923828125,-0.0095173716545104,-0.0027868151664733,0.0309133529663085,0.581422607421875,-0.0018642111681401,0.0010652635246515,-0.0003994738217443,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416536929300,0.60392919921875,0.0049850046634674,0.0115258693695068,0.0309152603149414,0.601427978515625,0.0002663158811628,-0.0010652635246515,0.0006657897029072,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416556934700,0.6239345703125,-0.0091574192047119,-9.66489315032e-05,0.0336294174194335,0.621433349609375,-0.0018642111681401,0.0,-0.0014647373463958,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416576940000,0.64393994140625,0.0003047883510589,-0.007186621427536,0.0357341766357421,0.641438720703125,-0.0002663158811628,0.0,0.0001331579405814,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416596945200,0.663945068359375,-0.0140270888805389,-0.0166689455509185,0.0171718597412109,0.661444091796875,-0.0002663158811628,0.0,-0.0003994738217443,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416616950500,0.683950439453125,0.017161339521408,0.011918306350708,0.0240497589111328,0.68144921875,0.0013315794058144,0.0010652635246515,0.0006657897029072,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416636956000,0.703955810546875,0.0027802884578704,0.0024366974830627,0.0240545272827148,0.70145458984375,-0.0007989476434886,0.0,0.0006657897029072,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416656961300,0.723961181640625,0.010012000799179,3.93986701965e-05,0.024052619934082,0.7214599609375,-0.0007989476434886,-0.0005326317623257,0.0011984214652329,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416676966700,0.743966552734375,-0.0068202912807464,-0.0046013295650482,0.02166748046875,0.74146533203125,-0.0007989476434886,-0.0005326317623257,-0.00093210558407,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416696971800,0.7639716796875,-0.0045909583568573,0.0049224495887756,0.0099925994873046,0.761470703125,-0.0013315794058144,-0.002130527049303,0.0006657897029072,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416716977200,0.78397705078125,0.016950249671936,0.0026220679283142,0.0288619995117187,0.781475830078125,-0.0013315794058144,0.0005326317623257,-0.0019973691087216,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416736982500,0.803982421875,-0.0070136189460754,0.0027727782726287,0.0171918869018554,0.801481201171875,-0.0013315794058144,0.0,0.0001331579405814,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416756988200,0.82398828125,0.005007266998291,-0.00186488032341,0.0264787673950195,0.821486572265625,-0.0007989476434886,0.0005326317623257,0.0011984214652329,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416776993800,0.843993896484375,0.0098332464694976,-0.0018732249736785,0.0195903778076171,0.841492431640625,0.0007989476434886,0.0010652635246515,-0.0003994738217443,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416796999700,0.863999755859375,0.0049140453338623,-0.0091235041618347,0.0076150894165039,0.861498291015625,0.0007989476434886,0.0,-0.0019973691087216,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416817005600,0.884005615234375,0.0120799839496612,0.0073338150978088,-0.006758689880371,0.881504150390625,0.0002663158811628,0.0010652635246515,-0.00093210558407,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416837011500,0.904011474609375,-0.0047001838684082,-0.0064323246479034,0.0240983963012695,0.901509765625,-0.0018642111681401,0.0,-0.0003994738217443,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416857017300,0.924017333984375,0.0048182904720306,-0.0088312625885009,0.0315866470336914,0.921515625,0.0002663158811628,-0.0005326317623257,0.0001331579405814,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416877023000,0.94402294921875,0.000225692987442,0.0075261890888214,0.0148067474365234,0.941521484375,0.0007989476434886,0.0005326317623257,-0.0003994738217443,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
1772651416897028900,0.96402880859375,0.0168753564357757,0.0216414332389831,0.0100221633911132,0.961527587890625,0.0002663158811628,-0.0005326317623257,-0.0003994738217443,tracy,still,07-2026-03-04,tracy_still_07-2026-03-04_19-10-15
