time,seconds_elapsed_x,acc_x,acc_y,acc_z,seconds_elapsed_y,gyro_x,gyro_y,gyro_z,member,activity,trial,session_id
1772648240052312300,0.167312255859375,-0.189563512802124,-0.0809507369995117,0.1129466295242309,0.1648095703125,0.0258326400071382,0.1556616276502609,0.080960027873516,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240072325000,0.1873251953125,-0.1388194561004638,-0.0032892227172851,0.1242889165878295,0.18482177734375,0.0348873808979988,0.154063731431961,0.0942758247256279,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240092338000,0.207337890625,-0.0172784328460693,-0.0204486846923828,0.1021723747253418,0.204834716796875,0.0210389550775289,0.1183774098753929,0.1027979329228401,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240112350700,0.227350830078125,-0.067123532295227,-0.0683441162109375,0.0736297369003295,0.22484765625,-0.0071905287913978,0.0454068593680858,0.1113200411200523,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240132363800,0.24736376953125,-0.0868340730667114,-0.1235008239746093,0.1102186441421508,0.244860595703125,-0.0130494777113199,0.0235689561814069,0.1065263524651527,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240152376800,0.267376953125,0.0159826278686523,-0.1282234191894531,0.2170809507369995,0.264873291015625,-0.0183757953345775,0.0214384291321039,0.1054610908031463,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240172389600,0.2873896484375,0.1737602949142456,-0.1229743957519531,0.2625672817230224,0.284886474609375,-0.0258326400071382,-0.0099868457764387,0.097471609711647,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240192402700,0.307402587890625,0.3379724025726318,-0.1839618682861328,0.2632083892822265,0.304899169921875,-0.035420011729002,-0.0541952811181545,0.0729705542325973,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240212415500,0.32741552734375,0.3990103602409363,-0.1385641098022461,0.3302602767944336,0.324912353515625,-0.0407463312149047,-0.0829573944211006,0.040480013936758,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240232428500,0.347428466796875,0.4631733298301697,-0.1763267517089843,0.3768970966339111,0.344925048828125,-0.031691588461399,-0.0856205523014068,0.0053263176232576,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240252441300,0.36744140625,0.5530950427055359,-0.2185611724853515,0.3484368324279785,0.364938232421875,-0.0215715859085321,-0.0563258081674575,-0.0117178987711668,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240272454400,0.387454345703125,0.6081382632255554,-0.1719655990600586,0.4011696577072143,0.384950927734375,-0.017310531809926,-0.0201068483293056,-0.0245010610669851,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240292467200,0.40746728515625,0.6410624384880066,-0.0826063156127929,0.3215668201446533,0.404964111328125,0.0178431645035743,0.0118510564789175,-0.0415452793240547,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240312480300,0.427480224609375,0.626698911190033,0.1434144973754882,0.3006455898284912,0.424976806640625,0.045540016144514,0.0800279229879379,-0.0719052851200103,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240332493000,0.4474931640625,0.589949905872345,0.0766334533691406,0.3439221382141113,0.444989990234375,0.0865526646375656,0.1828258484601974,-0.1022652983665466,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240352506000,0.467506103515625,0.6192159056663513,-0.0687255859375,0.1865706443786621,0.465002685546875,0.1078579351305961,0.2531332373619079,-0.1203747764229774,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240372519000,0.487518798828125,0.531539261341095,-0.0684890747070312,0.0821692943572998,0.485015625,0.1259674131870269,0.3213101029396057,-0.1326253116130828,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240392531700,0.50753173828125,0.5841506123542786,-0.2681207656860351,-0.0392227172851562,0.505028564453125,0.1861547976732254,0.3671164512634277,-0.1512674242258072,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240412544800,0.527544677734375,0.3887513279914856,-0.2461004257202148,-0.2621339559555053,0.52504150390625,0.1525990068912506,0.3655185401439667,-0.1778990030288696,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240432557800,0.547557861328125,0.2103303670883178,-0.09893798828125,-0.4492758512496948,0.545054443359375,0.1222389861941337,0.4134553968906402,-0.1699095368385315,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240452570600,0.567570556640625,0.2795652747154236,0.1253728866577148,-0.7673157453536987,0.5650673828125,0.0487358048558235,0.4342280328273773,-0.1390168964862823,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240472583700,0.587583740234375,0.4452829957008362,0.1097774505615234,-0.6556657552719116,0.585080322265625,-0.0508663319051265,0.4736427962779999,-0.0916126668453216,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240492596500,0.607596435546875,0.6221930384635925,-0.0966682434082031,-0.5026223659515381,0.60509326171875,-0.1121189892292022,0.4890891015529632,-0.0452736988663673,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240512609500,0.627609619140625,0.6097272038459778,-0.3288488388061523,-0.1694601774215698,0.625106201171875,-0.1557947844266891,0.4230427742004394,-0.0298273786902427,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240532622300,0.647622314453125,0.5902019143104553,-0.5969944000244141,0.1157553195953369,0.645119140625,-0.1334242522716522,0.3671164512634277,-0.0564589649438858,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240552635400,0.667635498046875,0.487503707408905,-0.6901302337646484,0.2649013996124267,0.665132080078125,-0.1115863546729087,0.2392848134040832,-0.0873516052961349,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240572645600,0.687645751953125,0.4217810034751892,-0.3861980438232422,0.3129829168319702,0.685143310546875,-0.1265000402927398,0.0992026627063751,-0.0894821360707283,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240592656000,0.70765576171875,0.4720498919486999,-0.033583641052246,0.1921604871749878,0.7051533203125,-0.1424790024757385,-0.0360858030617237,-0.092677928507328,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240612666000,0.727666015625,0.5554677844047546,0.4620609283447265,0.0975816249847412,0.72516357421875,-0.1829590052366256,-0.1463405787944793,-0.0378168560564518,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240632676400,0.74767626953125,0.5242660641670227,0.952627182006836,-0.2381246089935302,0.745173583984375,-0.2074600756168365,-0.1580584794282913,-0.0031957905739545,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240652686600,0.7676865234375,0.691455066204071,0.8462438583374023,-0.4392739534378052,0.765183837890625,-0.2298306077718734,-0.1133174076676368,0.0479368567466735,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240672696600,0.787696533203125,0.8807166814804077,0.4957399368286133,-0.5776001214981079,0.785194091796875,-0.2756369411945343,-0.0552605465054512,0.0676442310214042,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
1772648240692706800,0.807706787109375,1.3011600971221924,-0.0610647201538085,-0.2832062840461731,0.8052041015625,-0.3320958912372589,-0.0424773842096328,0.1102547720074653,tracy,walking,02-2026-03-04,tracy_walking_02-2026-03-04_18-17-19
