time,seconds_elapsed_x,acc_x,acc_y,acc_z,seconds_elapsed_y,gyro_x,gyro_y,gyro_z,member,activity,trial,session_id
1772648350113621200,0.376621337890625,-0.1136469841003418,-0.0157346725463867,-0.0435132980346679,0.379121337890625,0.0234357975423336,0.1772332191467285,0.0041278963908553,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350133627100,0.396627197265625,-0.2729995250701904,-0.2101688385009765,-0.0228354930877685,0.399127197265625,0.0149136893451213,0.1916142702102661,0.0147805316373705,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350153633000,0.416633056640625,-0.2671406269073486,0.0131683349609375,-0.195305585861206,0.4191328125,0.0655137076973915,0.182559534907341,-0.0134489517658948,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350173639000,0.436638916015625,-0.4998549818992615,-0.0326519012451171,-0.2618495225906372,0.439138671875,0.092677928507328,0.2315616607666015,-0.0193079020828008,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350193644800,0.456644775390625,-0.2123080492019653,0.0251893997192382,-0.0842512845993042,0.45914453125,0.0671116039156913,0.2017342746257782,-0.0299605373293161,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350213650400,0.476650390625,-0.1780654788017273,-0.0993309020996093,-0.3262981176376343,0.479150634765625,0.0958737134933471,0.150068998336792,-0.0438089631497859,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350233656300,0.49665625,-0.3017855882644653,-0.2578811645507812,-0.5515018701553345,0.499156494140625,0.1043958216905593,0.1948100626468658,-0.072571076452732,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350253662200,0.516662109375,-0.3322886228561401,-0.0632658004760742,-0.6624329090118408,0.519162353515625,0.0713726580142974,0.2320942878723144,-0.0906805545091629,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350273668000,0.536668212890625,-0.2535275816917419,0.0178213119506835,-0.6584939956665039,0.539168212890625,0.040480013936758,0.2640521824359894,-0.1039963513612747,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350293674000,0.556674072265625,-0.0130576491355896,-0.0916566848754882,-0.7618521451950073,0.559174072265625,0.0101200034841895,0.2523342967033386,-0.116779513657093,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350313680000,0.576679931640625,0.0965299010276794,-0.0430927276611328,-0.8535902500152588,0.5791796875,-0.0601873882114887,0.2427469193935394,-0.1290300488471985,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350333685800,0.596685791015625,0.1727418303489685,0.0625200271606445,-1.0891484022140503,0.599185546875,-0.1187768802046775,0.3002711534500122,-0.1146489903330802,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350353691400,0.61669140625,0.3538298010826111,0.0469741821289062,-1.1518274545669556,0.61919140625,-0.1555284708738327,0.3647195994853973,-0.0917458236217498,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350373697300,0.636697265625,0.5055714845657349,-0.2068710327148437,-1.1616275310516355,0.639197265625,-0.1880190074443817,0.4339617192745209,-0.0496679134666919,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350393703200,0.656703125,0.6294193267822266,-0.5567417144775391,-1.0564296245574951,0.659203369140625,-0.194943219423294,0.4797680675983429,-0.017710005864501,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350413709000,0.676708984375,0.5631634593009949,-0.7538671493530273,-0.8902151584625244,0.679209228515625,-0.1976063847541809,0.4962796568870544,0.0030626326333731,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350433715000,0.69671484375,0.3598366975784302,-0.8225469589233398,-0.6839357614517212,0.699215087890625,-0.174170583486557,0.5261070132255554,0.013715268112719,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350453720800,0.716720947265625,0.1880003213882446,-0.798426628112793,-0.5686804056167603,0.719220703125,-0.1704421639442443,0.4781701564788818,0.0142478998750448,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350473726700,0.736726806640625,0.0122838020324707,-0.459869384765625,-0.5187232494354248,0.7392265625,-0.1976063847541809,0.3838943541049957,0.0142478998750448,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350493732600,0.756732666015625,0.07584810256958,-0.1359405517578125,-0.5215075016021729,0.759232421875,-0.2125200778245926,0.2986732721328735,0.0355531685054302,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350513738200,0.77673828125,0.241764485836029,0.0323028564453125,-0.3811805248260498,0.77923828125,-0.2327600866556167,0.1745700538158416,0.0637826547026634,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350533744000,0.796744140625,0.2695164084434509,0.6168098449707031,-0.5195608139038086,0.799244140625,-0.2173137664794922,0.1474058330059051,0.0968058258295059,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350553750000,0.81675,0.2620275616645813,0.7976655960083008,-0.628779411315918,0.81925,-0.1965411156415939,0.1809616386890411,0.1213068813085556,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350573759500,0.836759521484375,0.304081380367279,0.8152580261230469,-0.959375023841858,0.839259521484375,-0.2226400822401046,0.1932121664285659,0.1516668945550918,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350593769200,0.856769287109375,0.3949325680732727,0.6943655014038086,-1.1060363054275513,0.859269287109375,-0.2854906320571899,0.2395511418581009,0.1889511197805404,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350613779000,0.876779052734375,0.5274643898010254,0.3059654235839844,-0.9090091586112976,0.879279052734375,-0.3286337852478027,0.19374480843544,0.2182458639144897,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350633789000,0.896788818359375,0.5473491549491882,-0.1439495086669922,-0.6772501468658447,0.8992890625,-0.3227748572826385,0.170841634273529,0.2752374708652496,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350653798700,0.916798583984375,0.7423428297042847,-0.718815803527832,-0.5455489158630371,0.919298828125,-0.2838927209377289,0.1687111109495163,0.3460775017738342,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350673808400,0.936808349609375,1.0497177839279177,-0.8201684951782227,-0.4643876254558563,0.93930859375,-0.2354232370853424,0.1942774355411529,0.399873286485672,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350693818400,0.956818359375,1.2807772159576416,-0.610565185546875,-0.2955408692359924,0.959318115234375,-0.1821600645780563,0.21505007147789,0.4371575117111206,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350713828000,0.976828125,1.4753518104553225,-0.5367708206176758,-0.21546071767807,0.979328125,-0.164583221077919,0.1751026958227157,0.4424838423728943,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350733837800,0.996837890625,1.4056432247161863,-0.3128337860107422,-0.2159781455993652,0.999337890625,-0.1555284708738327,0.170841634273529,0.4099932909011841,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350753847800,1.016847900390625,1.450397491455078,-0.2853994369506836,0.0215347409248352,1.01934765625,-0.1113200411200523,0.1836248040199279,0.3668501377105713,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350773857500,1.036857421875,1.4030797481536863,-0.5733499526977539,0.1125324964523315,1.039357421875,-0.0910800322890281,0.1090563535690307,0.301336407661438,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350793867300,1.0568671875,1.5394343137741089,-0.6675033569335938,0.0609368085861206,1.059367431640625,-0.0788294970989227,0.0541952811181545,0.204397439956665,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350813877200,1.076877197265625,1.7740967273712158,-0.6658201217651367,-0.3333072662353515,1.079377197265625,-0.0729705542325973,0.0643152818083763,0.1197089850902557,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350833887000,1.096886962890625,1.7861711978912354,-0.8680820465087891,-0.581196665763855,1.09938671875,-0.0303600095212459,0.1340900510549545,0.0387489609420299,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350853896700,1.116896728515625,1.9833743572235107,-1.307659149169922,-0.9848181009292604,1.119396728515625,0.0511326491832733,0.2752374708652496,-0.0565921254456043,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350873906700,1.13690673828125,1.8768835067749023,-1.9779472351074217,-0.9361782670021056,1.139406494140625,0.1331579387187957,0.5378249287605286,-0.1647163778543472,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350893916400,1.15691650390625,0.6493920683860779,-2.3867053985595703,-0.5722064971923828,1.159416259765625,0.1395495235919952,0.6896249651908875,-0.3612574934959411,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350913926100,1.176926025390625,-0.9817910194396972,-2.427085876464844,0.4909046292304992,1.17942626953125,0.2716422080993652,0.5143890976905823,-0.500806987285614,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350933935900,1.196935791015625,-2.3101119995117188,-2.19771671295166,0.8620473742485046,1.19943603515625,0.4548675119876861,0.0696416050195694,-0.6179860234260559,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350953945900,1.21694580078125,-2.348397016525269,-1.1715021133422852,0.3133302330970764,1.21944580078125,0.5225117802619934,-0.3900195956230163,-0.7628618478775024,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350973955600,1.23695556640625,-1.8652851581573489,0.2312393188476562,-0.8649130463600159,1.23945556640625,0.4830970168113708,-0.5269059538841248,-0.8342344760894775,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648350993965300,1.25696533203125,-1.3877003192901611,1.341874122619629,-1.1010489463806152,1.25946533203125,0.459128588438034,-0.5194491147994995,-0.8400934338569641,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351013975000,1.27697509765625,-1.4529495239257812,1.811950206756592,0.1985085010528564,1.27947509765625,0.591221272945404,-0.5482112169265747,-0.8044071197509766,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351033985000,1.296985107421875,-2.0145421028137207,1.0989999771118164,0.6798708438873291,1.299485107421875,0.7323686480522156,-0.6510091423988342,-0.6403565406799316,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351053994800,1.316994873046875,-2.3108389377593994,0.4192571640014648,-0.4307942390441894,1.319494873046875,0.6673876047134399,-0.4635227918624878,-0.4107922613620758,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351074005800,1.337005859375,-1.6492559909820557,-1.147334098815918,-1.1106911897659302,1.339505615234375,0.5017391443252563,-0.0651142299175262,-0.2174469232559204,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351094016800,1.357016845703125,-0.3874682784080505,-2.000974655151367,-0.5220651626586914,1.3595166015625,0.4846948981285095,0.203332170844078,-0.1258342564105987,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351114027800,1.37702783203125,0.2269258499145507,-1.1602401733398438,-0.2602356672286987,1.379527587890625,0.5629917979240417,0.2565953433513641,-0.1119858250021934,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351134038500,1.39703857421875,0.4844772219657898,-0.3845510482788086,-0.1476160287857055,1.39953857421875,0.566720187664032,0.3066627383232116,-0.133823737502098,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351154049500,1.417049560546875,0.2283066064119339,0.1591081619262695,-0.1133934259414672,1.419549560546875,0.4612590968608856,0.2251700758934021,-0.2158490270376205,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351174060500,1.437060546875,-0.3523384928703308,0.4301481246948242,-0.0482594966888427,1.439560546875,0.4000064432621002,0.2651174664497375,-0.2717753648757934,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351194071600,1.457071533203125,-0.96150541305542,0.4400262832641601,0.0700385570526123,1.459571533203125,0.4042675197124481,0.3130543231964111,-0.2494048178195953,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351214082600,1.47708251953125,-1.0575268268585205,0.8237953186035156,-0.157459020614624,1.479582763671875,0.4218443632125854,0.3434143364429474,-0.1753690093755722,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351234093600,1.497093505859375,-0.539056658744812,0.9159526824951172,-0.4261614084243774,1.49959375,0.3744401335716247,0.3375553786754608,-0.1391500532627105,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351254104600,1.5171044921875,0.1531621813774109,1.0587024688720703,-0.3758695125579834,1.519604736328125,0.3142527341842651,0.290683776140213,-0.1748363822698593,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351274115600,1.537115478515625,0.4410945177078247,1.3337955474853516,-0.5038484334945679,1.53961572265625,0.2466085106134414,0.2086584866046905,-0.2414153516292572,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351294126600,1.557126708984375,0.5024918913841248,1.8438258171081543,-0.706506609916687,1.559626708984375,0.1688442677259445,0.1740374267101287,-0.1961416453123092,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351314137600,1.5771376953125,0.7496045231819153,1.701439380645752,-0.7235134840011597,1.5796376953125,0.042610540986061,0.1932121664285659,-0.0805605575442314,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351334148600,1.597148681640625,0.7886686325073242,1.000767707824707,-0.6080026626586914,1.599648681640625,-0.098536878824234,0.2837595641613006,-0.0246342197060585,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351354159600,1.61715966796875,0.7675724029541016,1.139629364013672,-0.2350857257843017,1.619659423828125,-0.217846393585205,0.3716438114643097,0.0435426458716392,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351374170600,1.637170654296875,0.7702666521072388,1.0279464721679688,0.0093762874603271,1.63967041015625,-0.2743053436279297,0.4888227880001068,0.1031974032521247,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351394181600,1.657181640625,0.7260288596153259,0.9477214813232422,0.5012493133544922,1.659681396484375,-0.2141179740428924,0.4861596524715423,0.1617868989706039,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351414192600,1.677192626953125,0.695801317691803,0.3572368621826172,0.8787684440612793,1.6796923828125,-0.1773663759231567,0.3620564341545105,0.2246374487876892,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351434203600,1.69720361328125,0.4874497056007385,-0.7053184509277344,1.0139963626861572,1.699703369140625,-0.1091895103454589,0.2459427118301391,0.1905490159988403,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
1772648351454214700,1.717214599609375,-0.0345384180545806,-1.472942352294922,0.6958210468292236,1.719714599609375,-0.0101200034841895,0.2949448525905609,0.0834900289773941,tracy,walking,06-2026-03-04,tracy_walking_06-2026-03-04_18-19-09
