time,seconds_elapsed_x,acc_x,acc_y,acc_z,seconds_elapsed_y,gyro_x,gyro_y,gyro_z,member,activity,trial,session_id
1772642703546948600,4.889948486328125,0.0167060739986598,-0.099828155452013,0.0172749599277973,4.889948486328125,-0.0078308787196874,-0.0104141561314463,-0.0069190538488328,best,standing,04-2026-03-04,best_standing_04-2026-03-04_16-44-58
1772642703556990700,4.89999072265625,0.0128254331730306,-0.0939975496023893,0.0310042100727558,4.89999072265625,-0.0106149464845657,-0.0093310484662652,-0.010927909053862,best,standing,04-2026-03-04,best_standing_04-2026-03-04_16-44-58
1772642703567031600,4.910031494140625,0.0181745391160249,-0.0764338358610868,0.0122056938394904,4.910031494140625,-0.0131108611822128,-0.0031461233738809,-0.0072527476586401,best,standing,04-2026-03-04,best_standing_04-2026-03-04_16-44-58
1772642703577072600,4.92007275390625,0.0039672961957752,-0.0642243426293134,0.0017447978407144,4.92007275390625,-0.0098875164985656,-0.0018830469343811,-0.0090433275327086,best,standing,04-2026-03-04,best_standing_04-2026-03-04_16-44-58
1772642703587114500,4.930114501953125,0.011837152788043,-0.0555161355167627,0.0222580090373754,4.930114501953125,-0.0070355366915464,-0.0002822208334691,-0.0077500967308878,best,standing,04-2026-03-04,best_standing_04-2026-03-04_16-44-58
1772642703597155600,4.940155517578125,0.0002098433583974,-0.0639291590750217,0.0298196764633059,4.940155517578125,-0.0042370744049549,0.0027972008101642,-0.0084934402257204,best,standing,04-2026-03-04,best_standing_04-2026-03-04_16-44-58
1772642703607197700,4.95019775390625,-0.0065375850751996,-0.0854150146961212,0.0335042101949453,4.95019775390625,-0.0048983376473188,0.0063186986371874,-0.0097824102267622,best,standing,04-2026-03-04,best_standing_04-2026-03-04_16-44-58
1772642703617238800,4.96023876953125,-0.0157195471793413,-0.0936608649939298,0.0373135393500328,4.96023876953125,-0.0091005396097898,0.0128996353596448,-0.0094556408002972,best,standing,04-2026-03-04,best_standing_04-2026-03-04_16-44-58
1772642703627280600,4.97028076171875,-0.0327589447855949,-0.1086059206694364,0.0379153046354651,4.97028076171875,-0.0103439697995781,0.016764149069786,-0.0125654134899377,best,standing,04-2026-03-04,best_standing_04-2026-03-04_16-44-58
1772642703637321700,4.98032177734375,-0.0446703318536281,-0.0793815797507762,0.0232937818259,4.98032177734375,-0.0138295404613018,0.0211377367377281,-0.0092066414654254,best,standing,04-2026-03-04,best_standing_04-2026-03-04_16-44-58
