time,seconds_elapsed,z,y,x
1772648267406926800,0.0689267578125,-0.025848936289548874,0.050024889409542084,0.05638198181986809
1772648267416968000,0.078968017578125,-0.02058420516550541,0.041869763284921646,0.0792781338095665
1772648267427008000,0.089008056640625,-0.016343655064702034,0.045226145535707474,0.06295561790466309
1772648267437048800,0.099048828125,-0.012506116181612015,0.04368535056710243,0.05433795973658562
1772648267447089000,0.1090888671875,-0.008461574092507362,0.04535967856645584,0.06543401628732681
1772648267457130000,0.1191298828125,-0.002637860830873251,0.06077730655670166,0.06613322347402573
1772648267467170000,0.129170166015625,-0.005831523798406124,0.05513167381286621,0.07584630697965622
1772648267477211000,0.1392109375,-0.020399846136569977,0.029790028929710388,0.10353634506464005
1772648267487251000,0.1492509765625,-0.03282322734594345,0.009414182044565678,0.12348714470863342
1772648267497292000,0.1592919921875,-0.04061659052968025,0.021487314254045486,0.11384022980928421
1772648267507333000,0.1693330078125,-0.04777409881353378,0.04709360748529434,0.09635764360427856
1772648267517373000,0.179373046875,-0.055326033383607864,0.0636090338230133,0.09428427368402481
1772648267527413800,0.189413818359375,-0.05551911145448685,0.09798591583967209,0.09426829218864441
1772648267537453800,0.199453857421875,-0.04965303838253021,0.1314040720462799,0.08978342264890671
1772648267547495000,0.209494873046875,-0.048111069947481155,0.16229167580604553,0.08097581565380096
1772648267557535000,0.219534912109375,-0.045707251876592636,0.1700931340456009,0.09202194213867188
1772648267567575800,0.229575927734375,-0.048107825219631195,0.15494480729103088,0.12293538451194763
1772648267577616000,0.239615966796875,-0.0478091686964035,0.14003945887088776,0.11313597112894058
1772648267587657000,0.249656982421875,-0.03895282745361328,0.1362346112728119,0.09397239238023758
1772648267597698000,0.259697998046875,-0.039978332817554474,0.11172356456518173,0.08827289938926697
1772648267607738000,0.269738037109375,-0.04387160763144493,0.0623064823448658,0.09238109737634659
1772648267617779000,0.279779052734375,-0.05280597135424614,-0.0008433993789367378,0.07878372818231583
1772648267627818800,0.28981884765625,-0.0557708702981472,-0.03484637662768364,0.0697082057595253
1772648267637859800,0.29985986328125,-0.0547100305557251,-0.05297354608774185,0.07919963449239731
1772648267647900000,0.30989990234375,-0.04997892305254936,-0.07933404296636581,0.08405643701553345
1772648267657941000,0.31994091796875,-0.04267071560025215,-0.08783897757530212,0.07821201533079147
1772648267667980800,0.329980712890625,-0.036428533494472504,-0.0698021873831749,0.05503878742456436
1772648267678022000,0.34002197265625,-0.018873419612646103,-0.03033829666674137,0.05764467269182205
1772648267688063000,0.35006298828125,-0.0009633934823796153,0.02983982302248478,0.07596855610609055
