time,seconds_elapsed,z,y,x
1772642686008479700,0.056479736328125,-0.011236709542572498,-0.009069816209375858,-0.031756021082401276
1772642686018520800,0.066520751953125,-0.010377041064202785,-0.006768311373889446,-0.031386908143758774
1772642686028562700,0.076562744140625,-0.009917580522596836,-0.002855326049029827,-0.03124067559838295
1772642686038603800,0.086603759765625,-0.015589581802487373,0.003984470386058092,-0.025787055492401123
1772642686048645600,0.096645751953125,-0.013934776186943054,0.01013062335550785,-0.02305915392935276
1772642686058686700,0.106686767578125,-0.015916699543595314,0.013831883668899536,-0.020377883687615395
1772642686068727800,0.116727783203125,-0.015600151382386684,0.01579010672867298,-0.014321979135274887
1772642686078769700,0.126769775390625,-0.015678448602557182,0.01801304891705513,-0.0151803158223629
1772642686088810800,0.136810791015625,-0.018835589289665222,0.01793474704027176,-0.01745508424937725
1772642686098852900,0.146852783203125,-0.01731891930103302,0.01967672072350979,-0.01679675094783306
1772642686108894000,0.15689404296875,-0.016027258709073067,0.02017212100327015,-0.018174413591623306
1772642686118935800,0.166935791015625,-0.015646692365407944,0.021220341324806213,-0.01609288714826107
1772642686128977000,0.176976806640625,-0.015436855144798756,0.02134460210800171,-0.015303676947951317
1772642686139017700,0.187017822265625,-0.016295989975333214,0.021400796249508858,-0.01645576022565365
1772642686149059800,0.197059814453125,-0.011900212615728378,0.02195979654788971,-0.017587702721357346
1772642686159100700,0.2071005859375,-0.01241979468613863,0.020748857408761978,-0.018626069650053978
1772642686169142800,0.217142822265625,-0.014744468964636326,0.016887007281184196,-0.01977575570344925
1772642686179183600,0.22718359375,-0.015208868309855461,0.016707083210349083,-0.0219837985932827
1772642686189224700,0.237224609375,-0.01585632935166359,0.01270845253020525,-0.023454003036022186
1772642686199266600,0.2472666015625,-0.016385233029723167,0.01463817898184061,-0.02685859054327011
1772642686209307600,0.2573076171875,-0.016275255009531975,0.01477485429495573,-0.029757816344499588
1772642686219349800,0.267349853515625,-0.015403867699205875,0.016331739723682404,-0.028059251606464386
1772642686229390800,0.277390869140625,-0.014650587923824787,0.01947661302983761,-0.019010476768016815
1772642686239432000,0.287431884765625,-0.015449803322553635,0.02478029951453209,-0.010642291978001595
1772642686249473800,0.297473876953125,-0.015755396336317062,0.031162826344370842,-0.005516016855835915
1772642686259515000,0.307514892578125,-0.016114655882120132,0.03909851610660553,-0.006762376055121422
1772642686269556700,0.317556640625,-0.014783552847802639,0.03900434076786041,-0.0048374636098742485
1772642686279597800,0.327597900390625,-0.013493518345057964,0.03572492301464081,-0.0031447582878172398
1772642686289639700,0.3376396484375,-0.01302877813577652,0.02861892059445381,-0.006890078075230122
1772642686299680800,0.3476806640625,-0.010274803265929222,0.022259026765823364,-0.01151412446051836
1772642686309721600,0.3577216796875,-0.0075150891207158566,0.013587666675448418,-0.02033904567360878
1772642686319763700,0.367763671875,-0.005934502463787794,0.007656541187316179,-0.0247910525649786
1772642686329804500,0.377804443359375,-0.006928467191755772,-0.0010516756447032094,-0.02157381735742092
1772642686339847000,0.387846923828125,-0.008650734089314938,-0.006791053805500269,-0.02041907049715519
1772642686349887700,0.3978876953125,-0.004831843078136444,-0.01032921951264143,-0.01757878251373768
1772642686359928800,0.4079287109375,-0.004318385850638151,-0.014116235077381134,-0.01532814558595419
1772642686369970700,0.417970703125,-0.002201411407440901,-0.01950296014547348,-0.014696985483169556
1772642686380011800,0.42801171875,0.0021552536636590958,-0.02171817608177662,-0.014472747221589088
1772642686390053600,0.4380537109375,0.009293131530284882,-0.02841954119503498,-0.015108047053217888
1772642686400094700,0.4480947265625,0.01469588652253151,-0.03451045975089073,-0.01553441770374775
1772642686410135800,0.4581357421875,0.018020227551460266,-0.0412243977189064,-0.017992157489061356
1772642686420177700,0.468177734375,0.02273375540971756,-0.04673208296298981,-0.02126278541982174
1772642686430218800,0.47821875,0.02639159932732582,-0.05119361728429794,-0.025153502821922302
1772642686440260600,0.488260498046875,0.029352236539125443,-0.058128491044044495,-0.02767738327383995
1772642686450301700,0.4983017578125,0.03021625615656376,-0.0605042427778244,-0.029407091438770294
1772642686460343800,0.50834375,0.03107272833585739,-0.06649848073720932,-0.031814590096473694
1772642686470385000,0.518385009765625,0.031152796000242233,-0.06844428926706314,-0.02828066051006317
1772642686480425700,0.52842578125,0.032419394701719284,-0.07056257128715515,-0.02369416318833828
1772642686490467800,0.5384677734375,0.031067760661244392,-0.0668928399682045,-0.02105114422738552
1772642686500508700,0.5485087890625,0.029284773394465446,-0.06262059509754181,-0.01779569499194622
1772642686510550800,0.55855078125,0.028683321550488472,-0.05859166756272316,-0.014417903497815132
1772642686520591600,0.568591552734375,0.026308847591280937,-0.0515340231359005,-0.014669572934508324
1772642686530632700,0.5786328125,0.024580474942922592,-0.04119233042001724,-0.011211575008928776
1772642686540674600,0.588674560546875,0.02384411171078682,-0.03672434389591217,-0.006676211953163147
1772642686550715600,0.598715576171875,0.02137700468301773,-0.032436493784189224,-0.0037436652928590775
1772642686560757800,0.6087578125,0.019233692437410355,-0.02537778578698635,-0.003296254202723503
1772642686570798800,0.618798828125,0.014470105059444904,-0.025161325931549072,-0.004955828655511141
1772642686580840700,0.6288408203125,0.011686036363244057,-0.024330420419573784,-0.005885271355509758
1772642686590881800,0.6388818359375,0.00968377199023962,-0.027161091566085815,-0.004243021365255117
1772642686600923000,0.6489228515625,0.006160142831504345,-0.027157630771398544,-0.001673603430390358
1772642686610964700,0.65896484375,0.003867500927299261,-0.026944097131490707,0.0022411076352000237
1772642686621005800,0.669005859375,0.0007939466158859432,-0.026588033884763718,0.004456059075891972
1772642686631047700,0.679047607421875,0.00010473915608599782,-0.02110421098768711,0.0059084296226501465
1772642686641088800,0.6890888671875,-0.0020502908155322075,-0.016383225098252296,0.004084164276719093
1772642686651129600,0.699129638671875,-0.006673869211226702,-0.012729902751743793,0.00029659317806363106
1772642686661171700,0.709171630859375,-0.0075242165476083755,-0.010104293003678322,-0.004527722951024771
1772642686671212800,0.719212890625,-0.008554740808904171,-0.01175561174750328,-0.009648444131016731
